fichier_origine,fichier_livre,rubrique,plat,confiance,motif
FB_IMG_1787907222314.jpg,affogato-2.jpg,Affogato,Affogato pistache,SÛR,image titrée « Affogato à la Pistache »
FB_IMG_1787907203845.jpg,burgers-0.jpg,Panuzzo & burgers,Panuzzo Poulet Pané,SÛR,image titrée « Panozzo Poulet pané »
FB_IMG_1787907193453.jpg,burgers-4.jpg,Panuzzo & burgers,Luxury Beef Burger,SÛR,"image titrée « Cheese Burger », steak de bœuf"
FB_IMG_1787907104206.jpg,chaudes-0.jpg,Entrées chaudes,Golden Crispy Chicken,SÛR,"filets de poulet panés, sauce maison"
FB_IMG_1787907214654.jpg,chaudes-1.jpg,Entrées chaudes,Drums Signature,SÛR,pilons de poulet frits en panier
FB_IMG_1787907178034.jpg,crepes-salees-0.jpg,Crêpes salées,Crêpe Océane,SÛR,image titrée « Crêpe Océane »
FB_IMG_1787907297462.jpg,desserts-0.jpg,Desserts,Fondant,SÛR,"fondant chocolat, glace vanille"
FB_IMG_1787907233380.jpg,froides-4.jpg,Entrées froides,Burrata à la karkenaise,SÛR,image titrée « Salade karkanaise à la Burrata »
FB_IMG_1787907282537.jpg,pates-5.jpg,Pâtes & risottos,Rigatoni Crémeux à la Stracciatella,SÛR,"rigatoni, boulettes, stracciatella"
FB_IMG_1787907285087.jpg,pates-6.jpg,Pâtes & risottos,Mare Nostrum,SÛR,spaghetti fruits de mer
FB_IMG_1787907172114.jpg,pates-7.jpg,Pâtes & risottos,Linguine alle Vongole & Langoustines,SÛR,image titrée « alle Vongole & Langoustines »
FB_IMG_1787907273465.jpg,pizzas-0.jpg,Pizzas,Margherita Napoli,SÛR,"margherita classique, basilic"
FB_IMG_1787907199203.jpg,pizzas-2.jpg,Pizzas,Regina Classica,SÛR,image titrée « Pizza Regina » = Regina Classica
FB_IMG_1787907123935.jpg,pizzas-7.jpg,Pizzas,Bella Burrata,SÛR,pizza burrata roquette
FB_IMG_1787907225394.jpg,plats-7.jpg,Plats principaux,Souris d'Agneau Confite,SÛR,image titrée « Souris d'agneau »
FB_IMG_1787907236221.jpg,plats-8.jpg,Plats principaux,Côtelettes d'Agneau Grillées,SÛR,image titrée « Côtelettes d'Agneau Grillées »
FB_IMG_1787907201507.jpg,plats-9.jpg,Plats principaux,Tomahawk du Chef,SÛR,image titrée « Tomahawk Grillé »
FB_IMG_1787907292927.jpg,burgers-2.jpg,Panuzzo & burgers,Panuzzo Mexicano,À RELIRE,"burger, roquette, frites"
FB_IMG_1787907094101.jpg,burgers-3.jpg,Panuzzo & burgers,Luxury Chicken Burger,À RELIRE,"burger poulet, panier de frites"
FB_IMG_1787907099230.jpg,chaudes-3.jpg,Entrées chaudes,Marmite Océane,À RELIRE,"moules en sauce, bol"
FB_IMG_1787907183611.jpg,chaudes-4.jpg,Entrées chaudes,Trésor du Pêcheur,À RELIRE,titrée « Assiette du Marin » : rapproché du Trésor du Pêcheur
FB_IMG_1787907117676.jpg,chaudes-7.jpg,Entrées chaudes,Crème de légumes parfumée à la truffe,À RELIRE,"velouté gratiné, croûtons"
FB_IMG_1787907142854.jpg,chichas-7.jpg,Nos chichas,Chicha Belle Vue,À RELIRE (70 %),assiette de fruits ET narguilé visibles = « parfum + assiette de fruits + thé »
FB_IMG_1787907159102.jpg,cocktails-11.jpg,Cocktails & mocktails,Belle Vue,À RELIRE,gamme de cocktails colorés
FB_IMG_1787907152341.jpg,cocktails-2.jpg,Cocktails & mocktails,Hawaï,À RELIRE,deux cocktails tropicaux
FB_IMG_1787907169264.jpg,cocktails-8.jpg,Cocktails & mocktails,Maldives,À RELIRE,"mangue et kiwi, brochette de fruits"
FB_IMG_1787907301505.jpg,crepes-sucrees-2.jpg,Crêpes sucrées,Royal Ferrero Delight,À RELIRE,dessert chocolat et noisette
FB_IMG_1787907115189.jpg,froides-1.jpg,Entrées froides,Vitello Tonnato,À RELIRE,"fines tranches de viande, sauce claire"
FB_IMG_1787907270412.jpg,ice-coffee-1.jpg,Ice coffee,Ice Latte,À RELIRE,"latte glacé en couches, tasse"
FB_IMG_1787907145010.jpg,ice-coffee-3.jpg,Ice coffee,Caramel Latte,À RELIRE,café glacé en couches
FB_IMG_1787907140782.jpg,jwejem-0.jpg,Jwejem,Jwejem Classic,À RELIRE (60 %),"plateau plus restreint, une part -> Jwejem Classic 1 personne"
FB_IMG_1787907132795.jpg,jwejem-1.jpg,Jwejem,Jwejem Belle Vue,À RELIRE (65 %),"grand plateau de petites coupes, deux verres -> Jwejem 2 personnes"
FB_IMG_1787907275894.jpg,milkshakes-1.jpg,Milkshakes,Milkshake Spéculoos,À RELIRE,"milkshake beige, éclats spéculoos"
FB_IMG_1787907260801.jpg,milkshakes-5.jpg,Milkshakes,Milkshake Fruits des bois,À RELIRE,"chantilly, coulis rouge"
FB_IMG_1787907126464.jpg,mojitos-5.jpg,Mojitos,Mojito Strawberry,À RELIRE,"boisson rouge, fraise"
FB_IMG_1787907148490.jpg,mojitos-6.jpg,Mojitos,Mojito Kiwi,À RELIRE,"boisson kiwi, rondelle de kiwi"
FB_IMG_1787907161329.jpg,mojitos-8.jpg,Mojitos,Mojito Mangue,À RELIRE,boisson verte crémeuse
FB_IMG_1787907290539.jpg,mojitos-9.jpg,Mojitos,Mojito Cerise,À RELIRE,"boisson magenta, fruits"
FB_IMG_1787907106618.jpg,pates-1.jpg,Pâtes & risottos,Bologna Classica,À RELIRE (60 %),"pâtes courtes en sauce tomate -> Bologna Classica, seul emplacement tomate libre"
FB_IMG_1787907230380.jpg,pates-10.jpg,Pâtes & risottos,Risotto aux Langoustines & Crème de Pesto,À RELIRE,"titrée « Linguine à l'encre de seiche » : absent, rangé en Risotto Langoustines"
FB_IMG_1787907196841.jpg,pates-12.jpg,Pâtes & risottos,Pâtes à la Tunisienne,À RELIRE,titrée « Spaghetti Crevette » : rangé en Pâtes à la Tunisienne
FB_IMG_1787907166577.jpg,pates-13.jpg,Pâtes & risottos,Risotto aux Crustacés,À RELIRE,"titrée « Risotto Océan Bleu » : absent de la carte, rangé en Risotto aux Crustacés"
FB_IMG_1787907101897.jpg,pates-2.jpg,Pâtes & risottos,Penne Forestière au Poulet,À RELIRE,pâtes crémeuses aux champignons
FB_IMG_1787907209621.jpg,pates-4.jpg,Pâtes & risottos,Tagliatelle Alfredo,À RELIRE (70 %),"pâtes plates en sauce crémeuse, roquette -> Tagliatelle Alfredo"
FB_IMG_1787907109481.jpg,pates-9.jpg,Pâtes & risottos,Tagliatelle Rosato,À RELIRE,"rigatoni sauce rosée, burrata"
FB_IMG_1787907096392.jpg,pizzas-1.jpg,Pizzas,Verde Primavera,À RELIRE,"pizza tomate, basilic, poivron"
FB_IMG_1787907310892.jpg,pizzas-10.jpg,Pizzas,Salmone Affumicato,À RELIRE,"pizza charcuterie, burrata, olives"
FB_IMG_1787907278531.jpg,pizzas-11.jpg,Pizzas,Mare Blu,À RELIRE,pizza aux moules
FB_IMG_1787907091034.jpg,pizzas-6.jpg,Pizzas,Pollo Milano,À RELIRE,pizza poulet et champignons
FB_IMG_1787907181164.jpg,plats-0.jpg,Plats principaux,Suprême de Volaille à la Crème de Gorgonzola,À RELIRE,titrée « Délice de Volaille Farcie » : rapproché du Suprême de Volaille
FB_IMG_1787907112722.jpg,plats-2.jpg,Plats principaux,Espadon à la Sicilienne,À RELIRE,poisson sur purée verte
FB_IMG_1787907267233.jpg,plats-3.jpg,Plats principaux,Le Titan Stroganoff,À RELIRE,"viande en sauce, champignons, légumes"
FB_IMG_1787907299517.jpg,plats-4.jpg,Plats principaux,Pavé de Saumon,À RELIRE,"saumon, œufs brouillés"
FB_IMG_1787907309341.jpg,plats-5.jpg,Plats principaux,Cœur de Filet de Bœuf,À RELIRE,"pièce de bœuf, sauce versée"
